header_id	DOTH41b_SF_C	DOTH42b_SF_C	DOTH43b_SF_C	DOTH44b_SF_C	DOTH45b_SF_C	DOTH46b_SF_C
>CON_Q29RQ1 SWISS-PROT:Q29RQ1 (Bos taurus) Complement component C7 precursor	NA	NA	NA	NA	NA	NA
>CON_Q3MHH8 TREMBL:Q3MHH8 (Bos taurus) Amylase, alpha 2B; pancreatic	NA	NA	NA	NA	NA	NA
>CON_Q3SZ57 SWISS-PROT:Q3SZ57 (Bos taurus) Alpha-fetoprotein precursor	955776000	673715000	92397600	4674850	12927700	19494800
>CON_Q61782 TREMBL:Q61782 Tax_Id=10090 Gene_Symbol=Krt14 Type I epidermal keratin (Fragment)	NA	NA	754802	NA	65057.3	NA
>CON_Q6IME9 TREMBL:Q6IME9 Tax_Id=10090 Gene_Symbol=Krt72 Type-II keratin Kb35	428266	501923	NA	332315	114184	1121030
>CORMATOL_00488 30S ribosomal protein S13 [Corynebacterium matruchotii ATCC 33806]	559713	NA	1123670	636093	NA	NA
>CORMATOL_00822 indole-3-glycerol phosphate synthase [Corynebacterium matruchotii ATCC 33806]	NA	NA	361284	2055650	3576060	2138050
>CORMATOL_02365 zeta toxin [Corynebacterium matruchotii ATCC 33806]	NA	NA	NA	NA	NA	NA
>CORMATOL_03034 phosphopyruvate hydratase [Corynebacterium matruchotii ATCC 33806]	NA	NA	100473000	NA	NA	NA
>sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	625199	537907	989555	1153660	2409000	1371890
>EIKCOROL_00675 RDD family protein [Eikenella corrodens ATCC 23834]	15497000	6995520	19382300	5322910	NA	NA
>EIKCOROL_01907 putative hypoxanthine phosphoribosyltransferase [Eikenella corrodens ATCC 23834]	NA	NA	NA	NA	NA	NA
>EIKCOROL_01913 membrane-bound lytic murein transglycosylase A [Eikenella corrodens ATCC 23834]	NA	NA	NA	9261180	NA	NA
>FPOG_00157 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	254255000	NA	NA
>FPOG_00241 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	NA	NA	250160000
>FPOG_00539 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	NA	NA	NA
>FPOG_00539 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	254255000	NA	250160000
>FPOG_00552 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	NA	NA	238656000	NA
>FPOG_00622 peroxiredoxin [Fusobacterium periodonticum D10]	NA	NA	5166470	NA	NA	NA
>FPOG_00739 cold shock-like protein CspE [Fusobacterium periodonticum D10]	NA	NA	3073990	NA	NA	NA
>FPOG_00850 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	NA	NA	NA	NA
>FPOG_01476 formate acetyltransferase [Fusobacterium periodonticum D10]	NA	NA	559522	69682.1	NA	NA
>FPOG_02278 glutamate racemase [Fusobacterium periodonticum D10]	5447910	6377460	11588100	7970010	29723200	10338800
>FPOG_02353 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	254255000	NA	NA
>FPOG_02354 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	NA	NA	NA
>FPOG_02361 hypothetical protein [Fusobacterium periodonticum D10]	NA	NA	460179000	254255000	NA	NA
>FPOG_02452 hypothetical protein [Fusobacterium periodonticum D10]	623732000	578376000	460179000	254255000	238656000	250160000
>FUSPEROL_00163 Eco57I restriction endonuclease [Fusobacterium periodonticum ATCC 33693]	NA	NA	NA	2071630	5956370	782432
>FUSPEROL_00441 hypothetical protein [Fusobacterium periodonticum ATCC 33693]	623732000	578376000	460179000	254255000	NA	NA
>FUSPEROL_00978 outer membrane autotransporter barrel domain protein [Fusobacterium periodonticum ATCC 33693]	27436200	38347500	22379600	25010900	NA	16083100
>FUSPEROL_02073 hypothetical protein [Fusobacterium periodonticum ATCC 33693]	NA	NA	NA	254255000	238656000	250160000
>FUSPEROL_02099 RecA protein [Fusobacterium periodonticum ATCC 33693]	NA	NA	NA	NA	40868.1	NA
>FUSPEROL_02464 flavodoxin family protein [Fusobacterium periodonticum ATCC 33693]	NA	NA	NA	NA	NA	NA
>GCWU000246_00409 putative penicillin-binding protein 1C [Jonquetella anthropi E3_33 E1]	NA	NA	NA	26228600	NA	NA
>GCWU000246_00675 hypothetical protein [Jonquetella anthropi E3_33 E1]	NA	NA	NA	NA	NA	NA
>GCWU000246_00805 putative ATP synthase F0, B subunit [Jonquetella anthropi E3_33 E1]	24022500	NA	68586000	26228600	11536100	37070000
>GCWU000246_01256 hypothetical protein [Jonquetella anthropi E3_33 E1]	NA	NA	NA	NA	NA	NA
>GCWU000246_01880 TRCF domain protein [Jonquetella anthropi E3_33 E1]	NA	NA	NA	3978180	3502180	2237930
>GCWU000321_00466 phosphopyruvate hydratase [Dialister invisus DSM 15470]	NA	NA	100473000	NA	NA	NA
>GCWU000321_00592 ATP-dependent metallopeptidase HflB [Dialister invisus DSM 15470]	16417900	NA	2793520	NA	NA	NA
>GCWU000321_01159 anaerobic ribonucleoside-triphosphate reductase activating protein [Dialister invisus DSM 15470]	73075300	21021900	119939000	28560200	6510710	14304200
>GCWU000321_01675 TonB-dependent receptor plug domain protein [Dialister invisus DSM 15470]	NA	NA	NA	3866790	854845	5391620
>GCWU000323_00692 hypothetical protein [Leptotrichia hofstadii F0254]	NA	NA	NA	NA	NA	NA
>GCWU000323_00741 penicillin-binding protein, 1A family [Leptotrichia hofstadii F0254]	NA	NA	NA	NA	333589	NA
>GCWU000323_01149 prolipoprotein diacylglyceryl transferase [Leptotrichia hofstadii F0254]	NA	NA	NA	NA	NA	NA
>GCWU000323_01734 FtsK/SpoIIIE family protein [Leptotrichia hofstadii F0254]	NA	NA	NA	NA	NA	759200
>GCWU000323_01787 phosphoglucosamine mutase [Leptotrichia hofstadii F0254]	NA	NA	NA	1086380	1897410	2493670
>GCWU000323_01871 DNA polymerase III, alpha subunit [Leptotrichia hofstadii F0254]	NA	NA	NA	NA	NA	NA
>GCWU000323_01948 glyceraldehyde-3-phosphate dehydrogenase, type I [Leptotrichia hofstadii F0254]	NA	NA	278496000	NA	NA	NA
>GCWU000323_02102 hypothetical protein [Leptotrichia hofstadii F0254]	NA	NA	460179000	254255000	238656000	250160000
>GCWU000323_02427 hypothetical protein [Leptotrichia hofstadii F0254]	623732000	NA	NA	254255000	238656000	250160000
>GCWU000323_02713 hypothetical protein [Leptotrichia hofstadii F0254]	NA	NA	NA	254255000	NA	250160000
>GCWU000323_02806 ribosomal protein L2 [Leptotrichia hofstadii F0254]	NA	NA	21238500	NA	NA	NA
>GCWU000324_01275 hypothetical protein [Kingella oralis ATCC 51147]	NA	NA	NA	NA	238656000	NA
>GCWU000324_02083 NAD dependent epimerase/dehydratase family protein [Kingella oralis ATCC 51147]	NA	4412890	23998900	6565730	16456300	20147100
>GCWU000324_02288 bacteriophage Mu tail sheath protein (GpL) [Kingella oralis ATCC 51147]	NA	NA	NA	1171080	NA	3316040
>GCWU000324_03220 hypothetical protein [Kingella oralis ATCC 51147]	NA	NA	NA	NA	238656000	NA
>GCWU000325_00214 hypothetical protein [Prevotella tannerae ATCC 51259]	NA	NA	NA	254255000	238656000	250160000
>GCWU000325_01325 hypothetical protein [Prevotella tannerae ATCC 51259]	NA	NA	NA	NA	NA	NA
>GCWU000325_01513 peptidyl-prolyl cis-trans isomerase, FKBP-type [Prevotella tannerae ATCC 51259]	NA	249112	NA	1027560	2177640	NA
>GCWU000325_01636 hypothetical protein [Prevotella tannerae ATCC 51259]	NA	578376000	460179000	254255000	NA	NA
>GCWU000325_01803 hypothetical protein [Prevotella tannerae ATCC 51259]	NA	NA	NA	NA	238656000	NA
>GCWU000325_02158 polyribonucleotide nucleotidyltransferase [Prevotella tannerae ATCC 51259]	NA	NA	2779430	313153	NA	NA
>GCWU000325_02542 TonB-linked outer membrane protein, SusC/RagA family [Prevotella tannerae ATCC 51259]	NA	NA	NA	NA	608499	NA
>GCWU000325_02847 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase [Prevotella tannerae ATCC 51259]	2320670	NA	NA	NA	1170690	NA
>GCWU000341_00077 aminomethyltransferase [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	11789100	NA	NA	NA
>GCWU000341_00143 chaperone protein DnaK [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	9005690	NA	NA	NA
>GCWU000341_00636 cell wall-binding repeat protein [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	13598300	NA	NA	NA
>GCWU000341_01320 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	460179000	NA	NA	NA
>GCWU000341_01489 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	460179000	NA	NA	NA
>GCWU000341_01516 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	460179000	254255000	NA	NA
>GCWU000341_02665 1,4-alpha-glucan branching enzyme [Oribacterium sp. oral taxon 078 str. F0262]	NA	NA	NA	379175	542266	NA
>GCWU000342_00681 glutamine-fructose-6-phosphate transaminase (isomerizing) [Shuttleworthia satelles DSM 14600]	NA	NA	1331860	416738	NA	1524990
>GCWU000342_00899 phosphoglycerate kinase [Shuttleworthia satelles DSM 14600]	1324110	74752300	2366790	8161910	12130900	4742410
>GCWU000342_00991 ABC transporter, substrate-binding protein, QAT family [Shuttleworthia satelles DSM 14600]	NA	NA	NA	NA	NA	NA
>GCWU000342_02072 ABC transporter, permease protein [Shuttleworthia satelles DSM 14600]	NA	NA	NA	NA	NA	29120700
>GEMHA0001_0386 1,4-alpha-glucan branching enzyme [Gemella haemolysans ATCC 10379]	NA	NA	NA	379175	NA	NA
>GEMHA0001_0622 hypothetical protein [Gemella haemolysans ATCC 10379]	NA	NA	460179000	254255000	238656000	250160000
>GEMHA0001_0743 phosphopyruvate hydratase [Gemella haemolysans ATCC 10379]	NA	NA	NA	NA	NA	NA
>GEMHA0001_1027 NAD+ synthase [Gemella haemolysans ATCC 10379]	18908700	NA	2019760	NA	1083620	197421
>GEMHA0001_1289 diphosphomevalonate decarboxylase [Gemella haemolysans ATCC 10379]	NA	NA	2337660	1813200	1397630	NA
>GEMHA0001_1583 ABC-2 type transporter [Gemella haemolysans ATCC 10379]	NA	NA	NA	NA	NA	NA
>HMP0721_0880 putative proton-coupled thiamine transporter YuaJ [Pseudoramibacter alactolyticus ATCC 23263]	NA	NA	NA	NA	NA	NA
>HMP0721_0962 hypothetical protein [Pseudoramibacter alactolyticus ATCC 23263]	NA	NA	NA	NA	NA	NA
>HMP0721_1208 AMP-binding enzyme [Pseudoramibacter alactolyticus ATCC 23263]	1067890000	90093200	509731000	NA	3565240	NA
>HMP0721_1528 acyl-CoA dehydrogenase, C-terminal domain protein [Pseudoramibacter alactolyticus ATCC 23263]	1225600	863694	25096500	6734250	NA	NA
>HMP0721_1530 putative glycolate oxidase, subunit GlcD [Pseudoramibacter alactolyticus ATCC 23263]	24022500	65186000	68586000	26228600	NA	37070000
>HMP0721_1600 porphobilinogen synthase [Pseudoramibacter alactolyticus ATCC 23263]	NA	5228350	NA	NA	NA	747471
>HMP0721_1665 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein [Pseudoramibacter alactolyticus ATCC 23263]	NA	NA	NA	4337170	NA	NA
>HMP0721_1667 acetyl-CoA C-acetyltransferase [Pseudoramibacter alactolyticus ATCC 23263]	5499640	4445950	4736580	6227750	NA	128608
>HMP0721_1712 electron transfer flavoprotein FAD-binding domain protein [Pseudoramibacter alactolyticus ATCC 23263]	NA	250078	NA	5120370	NA	NA
>HMP0721_2031 acyl-CoA dehydrogenase, C-terminal domain protein [Pseudoramibacter alactolyticus ATCC 23263]	NA	NA	25096500	NA	NA	NA
>HMP0721_2035 2-hydroxyglutaryl-CoA dehydratase, D-component [Pseudoramibacter alactolyticus ATCC 23263]	NA	NA	NA	NA	NA	NA
>HMPREF0063_10358 ABC transporter, ATP-binding protein [Aeromicrobium marinum DSM 15272]	NA	NA	NA	NA	NA	NA
>HMPREF0063_10537 oxidoreductase, aldo/keto reductase family protein [Aeromicrobium marinum DSM 15272]	NA	NA	NA	NA	NA	NA
>HMPREF0063_10707 glycine dehydrogenase [Aeromicrobium marinum DSM 15272]	3044140	3151240	NA	3661610	2191470	NA
>HMPREF0063_11301 phosphoenolpyruvate-protein phosphotransferase [Aeromicrobium marinum DSM 15272]	NA	NA	3615030	NA	NA	NA
>HMPREF0063_11504 excalibur domain protein [Aeromicrobium marinum DSM 15272]	NA	NA	NA	NA	NA	NA
>HMPREF0063_12066 alkylmercury lyase [Aeromicrobium marinum DSM 15272]	NA	NA	NA	NA	NA	NA
>HMPREF0063_12097 hypothetical protein [Aeromicrobium marinum DSM 15272]	NA	NA	NA	NA	NA	NA
>HMPREF0063_13063 DNA-directed RNA polymerase, beta' subunit [Aeromicrobium marinum DSM 15272]	NA	NA	NA	15773500	11720600	18087100
>HMPREF0080_00223 23S rRNA (uracil-5-)-methyltransferase RumA [Anaeroglobus geminatus F0357]	NA	NA	NA	7272050	NA	NA
>HMPREF0080_00727 DNA-binding protein HU [Anaeroglobus geminatus F0357]	NA	NA	16642400	NA	NA	NA
>HMPREF0080_00838 LD-carboxypeptidase [Anaeroglobus geminatus F0357]	NA	NA	NA	NA	NA	NA
>HMPREF0080_00906 arginine--tRNA ligase [Anaeroglobus geminatus F0357]	NA	NA	NA	9452900	NA	NA
>HMPREF0080_01126 chaperonin GroL [Anaeroglobus geminatus F0357]	NA	NA	20866400	NA	NA	NA
>HMPREF0080_01126 chaperonin GroL [Anaeroglobus geminatus F0357]	NA	1915760	NA	NA	NA	NA
>HMPREF0080_01480 hypothetical protein [Anaeroglobus geminatus F0357]	NA	578376000	NA	NA	NA	NA
>HMPREF0156_00015 CobN/magnesium chelatase family protein [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	2233810	3872910	NA
>HMPREF0156_00038 hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	NA	NA	NA
>HMPREF0156_00234 translation elongation factor Tu [Bacteroidetes oral taxon 274 str. F0058]	1136350	NA	NA	NA	NA	684192
>HMPREF0156_00370 SMI1 / KNR4 family protein [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	NA	NA	NA
>HMPREF0156_00393 hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	NA	NA	NA
>HMPREF0156_00741 transcriptional regulator, XRE family [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	65652400	NA	13077300	50333800
>HMPREF0156_01465 butyrate kinase [Bacteroidetes oral taxon 274 str. F0058]	34931100	29122800	20155600	12768800	12546000	58314000
>HMPREF0156_01498 ATP synthase F1, alpha subunit [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	690334	NA	NA
>HMPREF0156_01631 conserved hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	NA	3992970	1198230
>HMPREF0156_01791 chaperone protein DnaK [Bacteroidetes oral taxon 274 str. F0058]	NA	NA	NA	7761510	1202530	1521560
