ID	feature_category
>CAMRE0001_0277 hypothetical protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_0384 hypothetical protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_0886 hypothetical protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_1291 hypothetical protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_1933 carbamoyl-phosphate synthase, large subunit [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_2008 hypothetical protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_2057 amino acid carrier protein [Campylobacter rectus RM3267]	bacteria
>CAMRE0001_2110 periplasmic binding protein [Campylobacter rectus RM3267]	bacteria
>CAMSH0001_0297 type II/IV secretion system protein [Campylobacter showae RM3277]	bacteria
>CAMSH0001_0942 hypothetical protein [Campylobacter showae RM3277]	bacteria
>CAMSH0001_2260 hypothetical protein [Campylobacter showae RM3277]	bacteria
>CAPGI0001_0174 nitroreductase family protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_1004 hypothetical protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_1490 outer membrane insertion signal domain protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_1931 O-succinylbenzoic acid--CoA ligase [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_2122 ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_2339 Mg chelatase-like protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPGI0001_2383 hypothetical protein [Capnocytophaga gingivalis ATCC 33624]	bacteria
>CAPSP0001_0087 aconitate hydratase [Capnocytophaga sputigena ATCC 33612]	bacteria
>CAPSP0001_0686 DNA polymerase III, alpha subunit [Capnocytophaga sputigena ATCC 33612]	bacteria
>CAPSP0001_0806 TonB-linked outer membrane protein, SusC/RagA family [Capnocytophaga sputigena ATCC 33612]	bacteria
>CAPSP0001_1077 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	bacteria
>CAPSP0001_1565 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	bacteria
>CAPSP0001_1794 hypothetical protein [Capnocytophaga sputigena ATCC 33612]	bacteria
>CON_P00761 SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).	bacteria
>CON_P01966 SWISS-PROT:P01966 (Bos taurus) Hemoglobin subunit alpha	bacteria
>CON_P02535-1 SWISS-PROT:P02535-1 Tax_Id=10090 Gene_Symbol=Krt10 Isoform 1 of Keratin, type I cytoskeletal 10	bacteria
>CON_P02662 SWISS-PROT:P02662 Alpha-S1-casein - Bos taurus (Bovine).	bacteria
>CON_P02666 SWISS-PROT:P02666 Beta-casein - Bos taurus (Bovine).	bacteria
>CON_P02769 SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	bacteria
>CON_P08727 SWISS-PROT:P08727 Tax_Id=9606 Gene_Symbol=KRT19 Keratin, type I cytoskeletal 19	bacteria
>CON_P08730-1 SWISS-PROT:P08730-1 Tax_Id=10090 Gene_Symbol=Krt13 Isoform 1 of Keratin, type I cytoskeletal 13	bacteria
>CON_P13646-1 SWISS-PROT:P13646-1 Tax_Id=9606 Gene_Symbol=KRT13 Isoform 1 of Keratin, type I cytoskeletal 13	bacteria
>CON_P15636 SWISS-PROT:P15636 Protease I precursor Lysyl endopeptidase Achromobacter lyticus.	bacteria
>CON_P19012 SWISS-PROT:P19012 Tax_Id=9606 Gene_Symbol=KRT15 Keratin, type I cytoskeletal 15	bacteria
>CON_P50446 SWISS-PROT:P50446 Tax_Id=10090 Gene_Symbol=Krt6a Keratin, type II cytoskeletal 6A	bacteria
>CON_Q01546 SWISS-PROT:Q01546 Tax_Id=9606 Gene_Symbol=KRT76 Keratin, type II cytoskeletal 2 oral	bacteria
>CON_Q29RQ1 SWISS-PROT:Q29RQ1 (Bos taurus) Complement component C7 precursor	bacteria
>CON_Q3MHH8 TREMBL:Q3MHH8 (Bos taurus) Amylase, alpha 2B; pancreatic	bacteria
>CON_Q3SZ57 SWISS-PROT:Q3SZ57 (Bos taurus) Alpha-fetoprotein precursor	bacteria
>CON_Q61782 TREMBL:Q61782 Tax_Id=10090 Gene_Symbol=Krt14 Type I epidermal keratin (Fragment)	bacteria
>CON_Q6IME9 TREMBL:Q6IME9 Tax_Id=10090 Gene_Symbol=Krt72 Type-II keratin Kb35	bacteria
>CORMATOL_00488 30S ribosomal protein S13 [Corynebacterium matruchotii ATCC 33806]	bacteria
>CORMATOL_00822 indole-3-glycerol phosphate synthase [Corynebacterium matruchotii ATCC 33806]	bacteria
>CORMATOL_02365 zeta toxin [Corynebacterium matruchotii ATCC 33806]	bacteria
>CORMATOL_03034 phosphopyruvate hydratase [Corynebacterium matruchotii ATCC 33806]	bacteria
>sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	human
>EIKCOROL_00675 RDD family protein [Eikenella corrodens ATCC 23834]	bacteria
>EIKCOROL_01907 putative hypoxanthine phosphoribosyltransferase [Eikenella corrodens ATCC 23834]	bacteria
>EIKCOROL_01913 membrane-bound lytic murein transglycosylase A [Eikenella corrodens ATCC 23834]	bacteria
>FPOG_00157 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_00241 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_00539 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_00539 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_00552 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_00622 peroxiredoxin [Fusobacterium periodonticum D10]	bacteria
>FPOG_00739 cold shock-like protein CspE [Fusobacterium periodonticum D10]	bacteria
>FPOG_00850 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_01476 formate acetyltransferase [Fusobacterium periodonticum D10]	bacteria
>FPOG_02278 glutamate racemase [Fusobacterium periodonticum D10]	bacteria
>FPOG_02353 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_02354 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_02361 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FPOG_02452 hypothetical protein [Fusobacterium periodonticum D10]	bacteria
>FUSPEROL_00163 Eco57I restriction endonuclease [Fusobacterium periodonticum ATCC 33693]	bacteria
>FUSPEROL_00441 hypothetical protein [Fusobacterium periodonticum ATCC 33693]	bacteria
>FUSPEROL_00978 outer membrane autotransporter barrel domain protein [Fusobacterium periodonticum ATCC 33693]	bacteria
>FUSPEROL_02073 hypothetical protein [Fusobacterium periodonticum ATCC 33693]	bacteria
>FUSPEROL_02099 RecA protein [Fusobacterium periodonticum ATCC 33693]	bacteria
>FUSPEROL_02464 flavodoxin family protein [Fusobacterium periodonticum ATCC 33693]	bacteria
>GCWU000246_00409 putative penicillin-binding protein 1C [Jonquetella anthropi E3_33 E1]	bacteria
>GCWU000246_00675 hypothetical protein [Jonquetella anthropi E3_33 E1]	bacteria
>GCWU000246_00805 putative ATP synthase F0, B subunit [Jonquetella anthropi E3_33 E1]	bacteria
>GCWU000246_01256 hypothetical protein [Jonquetella anthropi E3_33 E1]	bacteria
>GCWU000246_01880 TRCF domain protein [Jonquetella anthropi E3_33 E1]	bacteria
>GCWU000321_00466 phosphopyruvate hydratase [Dialister invisus DSM 15470]	bacteria
>GCWU000321_00592 ATP-dependent metallopeptidase HflB [Dialister invisus DSM 15470]	bacteria
>GCWU000321_01159 anaerobic ribonucleoside-triphosphate reductase activating protein [Dialister invisus DSM 15470]	bacteria
>GCWU000321_01675 TonB-dependent receptor plug domain protein [Dialister invisus DSM 15470]	bacteria
>GCWU000323_00692 hypothetical protein [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_00741 penicillin-binding protein, 1A family [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_01149 prolipoprotein diacylglyceryl transferase [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_01734 FtsK/SpoIIIE family protein [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_01787 phosphoglucosamine mutase [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_01871 DNA polymerase III, alpha subunit [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_01948 glyceraldehyde-3-phosphate dehydrogenase, type I [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_02102 hypothetical protein [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_02427 hypothetical protein [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_02713 hypothetical protein [Leptotrichia hofstadii F0254]	bacteria
>GCWU000323_02806 ribosomal protein L2 [Leptotrichia hofstadii F0254]	bacteria
>GCWU000324_01275 hypothetical protein [Kingella oralis ATCC 51147]	bacteria
>GCWU000324_02083 NAD dependent epimerase/dehydratase family protein [Kingella oralis ATCC 51147]	bacteria
>GCWU000324_02288 bacteriophage Mu tail sheath protein (GpL) [Kingella oralis ATCC 51147]	bacteria
>GCWU000324_03220 hypothetical protein [Kingella oralis ATCC 51147]	bacteria
>GCWU000325_00214 hypothetical protein [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_01325 hypothetical protein [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_01513 peptidyl-prolyl cis-trans isomerase, FKBP-type [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_01636 hypothetical protein [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_01803 hypothetical protein [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_02158 polyribonucleotide nucleotidyltransferase [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_02542 TonB-linked outer membrane protein, SusC/RagA family [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000325_02847 UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase [Prevotella tannerae ATCC 51259]	bacteria
>GCWU000341_00077 aminomethyltransferase [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_00143 chaperone protein DnaK [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_00636 cell wall-binding repeat protein [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_01320 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_01489 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_01516 hypothetical protein [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000341_02665 1,4-alpha-glucan branching enzyme [Oribacterium sp. oral taxon 078 str. F0262]	bacteria
>GCWU000342_00681 glutamine-fructose-6-phosphate transaminase (isomerizing) [Shuttleworthia satelles DSM 14600]	bacteria
>GCWU000342_00899 phosphoglycerate kinase [Shuttleworthia satelles DSM 14600]	bacteria
>GCWU000342_00991 ABC transporter, substrate-binding protein, QAT family [Shuttleworthia satelles DSM 14600]	bacteria
>GCWU000342_02072 ABC transporter, permease protein [Shuttleworthia satelles DSM 14600]	bacteria
>GEMHA0001_0386 1,4-alpha-glucan branching enzyme [Gemella haemolysans ATCC 10379]	bacteria
>GEMHA0001_0622 hypothetical protein [Gemella haemolysans ATCC 10379]	bacteria
>GEMHA0001_0743 phosphopyruvate hydratase [Gemella haemolysans ATCC 10379]	bacteria
>GEMHA0001_1027 NAD+ synthase [Gemella haemolysans ATCC 10379]	bacteria
>GEMHA0001_1289 diphosphomevalonate decarboxylase [Gemella haemolysans ATCC 10379]	bacteria
>GEMHA0001_1583 ABC-2 type transporter [Gemella haemolysans ATCC 10379]	bacteria
>HMP0721_0880 putative proton-coupled thiamine transporter YuaJ [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_0962 hypothetical protein [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1208 AMP-binding enzyme [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1528 acyl-CoA dehydrogenase, C-terminal domain protein [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1530 putative glycolate oxidase, subunit GlcD [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1600 porphobilinogen synthase [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1665 3-hydroxyacyl-CoA dehydrogenase, NAD binding domain protein [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1667 acetyl-CoA C-acetyltransferase [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_1712 electron transfer flavoprotein FAD-binding domain protein [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_2031 acyl-CoA dehydrogenase, C-terminal domain protein [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMP0721_2035 2-hydroxyglutaryl-CoA dehydratase, D-component [Pseudoramibacter alactolyticus ATCC 23263]	bacteria
>HMPREF0063_10358 ABC transporter, ATP-binding protein [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_10537 oxidoreductase, aldo/keto reductase family protein [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_10707 glycine dehydrogenase [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_11301 phosphoenolpyruvate-protein phosphotransferase [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_11504 excalibur domain protein [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_12066 alkylmercury lyase [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_12097 hypothetical protein [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0063_13063 DNA-directed RNA polymerase, beta' subunit [Aeromicrobium marinum DSM 15272]	bacteria
>HMPREF0080_00223 23S rRNA (uracil-5-)-methyltransferase RumA [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_00727 DNA-binding protein HU [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_00838 LD-carboxypeptidase [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_00906 arginine--tRNA ligase [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_01126 chaperonin GroL [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_01126 chaperonin GroL [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0080_01480 hypothetical protein [Anaeroglobus geminatus F0357]	bacteria
>HMPREF0156_00015 CobN/magnesium chelatase family protein [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_00038 hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_00234 translation elongation factor Tu [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_00370 SMI1 / KNR4 family protein [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_00393 hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_00741 transcriptional regulator, XRE family [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_01465 butyrate kinase [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_01498 ATP synthase F1, alpha subunit [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_01631 conserved hypothetical protein [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0156_01791 chaperone protein DnaK [Bacteroidetes oral taxon 274 str. F0058]	bacteria
>HMPREF0185_00060 hydrolase, alpha/beta domain protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_00915 pyridoxal kinase [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_01188 hypothetical protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_01298 metallo-beta-lactamase family protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_01693 phasin family protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_02090 1-(5-phosphoribosyl)-5-[(5- phosphoribosylamino)methylideneamino]imidazole-4- carboxamide isomerase [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_02507 outer membrane protein transport protein, Ompp1/FadL/TodX family [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_02589 peptidase M16 inactive domain protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_02677 carboxyl transferase domain protein [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0185_03049 unspecific monooxygenase [Brevundimonas diminuta 470-4]	bacteria
>HMPREF0299_6025 hypothetical protein [Corynebacterium matruchotii ATCC 14266]	bacteria
>HMPREF0347_5380 hypothetical protein [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_5881 kinase, PfkB family [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_6019 L-lactate dehydrogenase [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_6197 DNA repair protein RadA [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_6982 putative ComG operon protein 1 [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_7156 phosphoribosylaminoimidazole carboxylase, ATPase subunit [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_7274 oxidoreductase, short chain dehydrogenase/reductase family protein [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_7502 RDD family protein [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0347_7690 hypothetical protein [Enterococcus faecalis TUSoD Ef11]	bacteria
>HMPREF0378_0082 putative modification methylase HhaI [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0378_0209 glycoside-hydrolase family GH114 [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0378_0272 glycerol-3-phosphate responsive antiterminator [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0378_1011 peroxiredoxin [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0378_1445 amidohydrolase [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0378_1496 putative 4-aminobutyrate transaminase [Eubacterium nodatum ATCC 33099]	bacteria
>HMPREF0379_0286 aspartate--ammonia ligase [Peptoclostridium [Eubacterium] yurii subsp. margaretiae ATCC 43715]	bacteria
>HMPREF0379_0522 hypothetical protein [Peptoclostridium [Eubacterium] yurii subsp. margaretiae ATCC 43715]	bacteria
>HMPREF0379_0727 TRAP transporter, DctQ-like membrane protein [Peptoclostridium [Eubacterium] yurii subsp. margaretiae ATCC 43715]	bacteria
>HMPREF0379_1824 gamma-aminobutyrate metabolism dehydratase/isomerase [Peptoclostridium [Eubacterium] yurii subsp. margaretiae ATCC 43715]	bacteria
>HMPREF0379_2027 ABC transporter, ATP-binding protein [Peptoclostridium [Eubacterium] yurii subsp. margaretiae ATCC 43715]	bacteria
>HMPREF0380_00122 hypothetical protein [Eubacterium infirmum F0142]	bacteria
>HMPREF0380_00581 UDP-N-acetylmuramoylalanine-D-glutamate ligase [Eubacterium infirmum F0142]	bacteria
>HMPREF0380_01741 hypothetical protein [Eubacterium infirmum F0142]	bacteria
>HMPREF0381_0657 ABC transporter, ATP-binding protein [Lachnoanaerobaculum saburreum DSM 3986]	bacteria
>HMPREF0381_2124 helicase C-terminal domain protein [Lachnoanaerobaculum saburreum DSM 3986]	bacteria
>HMPREF0389_00768 antioxidant, AhpC/TSA family [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_00797 hypothetical protein [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01056 hypothetical protein [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01225 copper amine oxidase domain protein [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01469 glutaconate CoA-transferase subunit A [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01485 SpoIID/LytB domain protein [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01570 aminotransferase, acetylornithine/succinylornithine family [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0389_01735 DNA-directed RNA polymerase, beta subunit [Filifactor alocis ATCC 35896]	bacteria
>HMPREF0444_0173 histidine kinase [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_0187 DNA mismatch repair protein MutS [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_0202 phosphoglycerate mutase 1 family [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_0618 hypothetical protein [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_1115 excinuclease ABC, B subunit [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_1235 amidohydrolase [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0444_1659 hypothetical protein [Granulicatella adiacens ATCC 49175]	bacteria
>HMPREF0446_00694 hypothetical protein [Granulicatella elegans ATCC 700633]	bacteria
>HMPREF0446_00813 hypothetical protein [Granulicatella elegans ATCC 700633]	bacteria
>HMPREF0491_00085 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_00426 Mg chelatase [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_00631 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_01378 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_01495 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_01793 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_01809 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0491_02703 hypothetical protein [Lachnospiraceae oral taxon 107 str. F0167]	bacteria
>HMPREF0545_0857 glutamate-5-semialdehyde dehydrogenase [Lactobacillus salivarius ATCC 11741]	bacteria
